Electoral District Number / No. de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	Candidate's Initial / Initiale du candidat	Confirmation Date / Date de confirmation
24058	Rivière-du-Loup--Montmagny	Rivière-du-Loup--Montmagny	N.D.P.	N.P.D.	Garon	Frédérick		5/6/04 19:45
24059	Rivière-du-Nord	Rivière-du-Nord	Liberal	Libéral	Auclair	Lorraine		4/6/04 17:40
24059	Rivière-du-Nord	Rivière-du-Nord	Conservative	conservateur	Brousseau	Catherine		4/6/04 17:30
24059	Rivière-du-Nord	Rivière-du-Nord	Marijuana Party	Parti Marijuana	Marcoux	Christian		7/6/04 13:40
24059	Rivière-du-Nord	Rivière-du-Nord	N.D.P.	N.P.D.	Côté	François		4/6/04 17:45
24059	Rivière-du-Nord	Rivière-du-Nord	Bloc Québécois	Bloc Québécois	Guay	Monique		29/05/2004 14:30:00
24059	Rivière-du-Nord	Rivière-du-Nord	Green Party	Parti Vert	Poirier	Marcel		7/6/04 9:45
24060	Roberval	Roberval	Liberal	Libéral	Mallette	Michel		1/6/04 14:45
24060	Roberval	Roberval	Conservative	conservateur	Lavoie	Ghislain		3/6/04 21:00
24060	Roberval	Roberval	Bloc Québécois	Bloc Québécois	Gauthier	Michel		3/6/04 16:29
24060	Roberval	Roberval	Green Party	Parti Vert	Gauthier	Marc-André		7/6/04 10:34
24060	Roberval	Roberval	N.D.P.	N.P.D.	Tremblay	Isabelle		4/6/04 9:50
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Liberal	Libéral	Bolduc	Christian		28/05/2004 14:45:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Conservative	conservateur	Sauvé	Michel		1/6/04 18:20
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Communist	Communiste	Higham	Kenneth		29/05/2004 16:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Bloc Québécois	Bloc Québécois	Bigras	Bernard		28/05/2004 16:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Green Party	Parti Vert	Chevalier	François		2/6/04 14:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	N.D.P.	N.P.D.	Beauchamp	Benoît		1/6/04 15:30
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Liberal	Libéral	Savard	Marc		26/05/2004 15:58:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Conservative	conservateur	Mongeau	Jean-François		3/6/04 17:07
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Marijuana Party	Parti Marijuana	Vachon	David		5/6/04 12:03
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Bloc Québécois	Bloc Québécois	Lavallée	Carole		24/05/2004 20:55:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Green Party	Parti Vert	Crawford	Janis 		4/6/04 17:32
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	N.D.P.	N.P.D.	Henretta	Marie		3/6/04 20:25
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Liberal	Libéral	Gaudette	Michel		27/05/2004 17:25:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Conservative	conservateur	Champagne	Andrée		4/6/04 11:58
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Bloc Québécois	Bloc Québécois	Loubier	Yvan		27/05/2004 14:00:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Green Party	Parti Vert	Godbout	Bruno		6/6/04 15:27
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	N.D.P.	N.P.D.	Chevrier	Joëlle		31/05/2004 14:45:00
24064	Saint-Jean	Saint-Jean	Liberal	Libéral	Fecteau	Michel		31/05/2004 18:00:00
24064	Saint-Jean	Saint-Jean	N.D.P.	N.P.D.	Trépanier	Jonathan		7/6/04 9:00
24064	Saint-Jean	Saint-Jean	Green Party	Parti Vert	Genest	Claude		7/6/04 9:00
24064	Saint-Jean	Saint-Jean	Conservative	conservateur	Khoury	Joseph		30/05/2004 16:45:00
24064	Saint-Jean	Saint-Jean	Bloc Québécois	Bloc Québécois	Bachand	Claude		1/6/04 19:30
24065	Saint-Lambert	Saint-Lambert	Liberal	Libéral	Thibeault	Yolande		29/05/2004 09:55:00
24065	Saint-Lambert	Saint-Lambert	N.D.P.	N.P.D.	Garcia	Monique		29/05/2004 15:56:00
24065	Saint-Lambert	Saint-Lambert	Conservative	conservateur	Clune	Patrick		31/05/2004 15:02:00
24065	Saint-Lambert	Saint-Lambert	Green Party	Parti Vert	Joubert	Diane		4/6/04 15:10
24065	Saint-Lambert	Saint-Lambert	Marxist-Leninist	Marxiste-Léniniste	Fournier	Normand		30/05/2004 14:00:00
24065	Saint-Lambert	Saint-Lambert	Bloc Québécois	Bloc Québécois	Kotto	Maka		27/05/2004 17:06:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Liberal	Libéral	Dion	Stéphane		31/05/2004 13:30:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Conservative	conservateur	Rahmé	Marc		2/6/04 17:05
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Marijuana Party	Parti Marijuana	Neron	Alex		4/6/04 14:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	N.D.P.	N.P.D.	Mahayni	Zaid		2/6/04 21:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Marxist-Leninist	Marxiste-Léniniste	Deschamps	Fernand		3/6/04 10:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Communist	Communiste	Vargas	Nilda		3/6/04 11:30
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Canadian Action	Action canadienne	Fernandez	Ken		7/6/04 14:32
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Bloc Québécois	Bloc Québécois	Fayad	William		31/05/2004 16:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Green Party	Parti Vert	Aladass	Almaz		4/6/04 14:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Liberal	Libéral	Pacetti	Massimo		1/6/04 17:45
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Conservative	conservateur	Eslami	Payam		3/6/04 17:15
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Bloc Québécois	Bloc Québécois	François	Paul-Alexis		26/05/2004 12:48:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Marxist-Leninist	Marxiste-Léniniste	Chénier	Stéphane		28/05/2004 16:21:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Green Party	Parti Vert	Fellicetti	Ricardo		7/6/04 10:15
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	N.D.P.	N.P.D.	Colella	Laura		3/6/04 20:20
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Liberal	Libéral	Bilodeau	Marie-Eve		28/05/2004 16:23:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Green Party	Parti Vert	Audette	Pierre	Cayou	2/6/04 13:37
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Bloc Québécois	Bloc Québécois	Gagnon	Marcel		31/05/2004 13:57:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Conservative	conservateur	Toupin	Martial		4/6/04 12:21
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Marijuana Party	Parti Marijuana	Giroux	Paul		4/6/04 13:42
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	N.D.P.	N.P.D.	Allard	Pierre	J.C.	2/6/04 19:54
24069	Shefford	Shefford	Liberal	Libéral	St-Jacques	Diane		26/05/2004 13:50:00
24069	Shefford	Shefford	Conservative	conservateur	Parenteau	Jacques		3/6/04 15:00
24069	Shefford	Shefford	Bloc Québécois	Bloc Québécois	Vincent	Robert		26/05/2004 13:52:00
24069	Shefford	Shefford	Green Party	Parti Vert	Brière	Francine		3/6/04 14:30
24069	Shefford	Shefford	N.D.P.	N.P.D.	Bisson	Sonia		5/6/04 16:54
24070	Sherbrooke	Sherbrooke	Liberal	Libéral	Béchard	Bruno-Marie		1/6/04 17:14
24070	Sherbrooke	Sherbrooke	Bloc Québécois	Bloc Québécois	Cardin	Serge		26/05/2004 17:02:00
24070	Sherbrooke	Sherbrooke	Green Party	Parti Vert	Champagne	Jeffrey		1/6/04 16:00
24070	Sherbrooke	Sherbrooke	Conservative	conservateur	Leblanc	Réal		3/6/04 10:00
24070	Sherbrooke	Sherbrooke	N.D.P.	N.P.D.	Dion	Philippe		26/05/2004 17:30:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Liberal	Libéral	Gingras	Pierre		3/6/04 22:16
24071	Terrebonne--Blainville	Terrebonne--Blainville	Conservative	conservateur	Légaré	Patrick		5/6/04 14:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Bloc Québécois	Bloc Québécois	Bourgeois	Diane		3/6/04 22:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Green Party	Parti Vert	Drapeau	Martin		4/6/04 19:45
24071	Terrebonne--Blainville	Terrebonne--Blainville	N.D.P.	N.P.D.	Beaudet	Normand		5/6/04 16:00
24072	Trois-Rivières	Trois-Rivières	Liberal	Libéral	Guindon	Jean-Éric		29/05/2004 09:00:00
24072	Trois-Rivières	Trois-Rivières	N.D.P.	N.P.D.	Tessier	Marc		1/6/04 13:20
24072	Trois-Rivières	Trois-Rivières	Bloc Québécois	Bloc Québécois	Brunelle	Paule		30/05/2004 08:45:00
24072	Trois-Rivières	Trois-Rivières	Green Party	Parti Vert	Lavoie	Linda		4/6/04 9:45
24072	Trois-Rivières	Trois-Rivières	Conservative	conservateur	Mercier	Jean-Guy		5/6/04 9:50
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Liberal	Libéral	Discepola	Nick		29/05/2004 12:45:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	N.D.P.	N.P.D.	Markgraf	Bert		6/6/04 13:40
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Marijuana Party	Parti Marijuana	Soucy	Charles		3/6/04 13:30
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Conservative	conservateur	Ramage	Robert		3/6/04 9:30
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Bloc Québécois	Bloc Québécois	Faille	Meili		27/05/2004 11:30:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Green Party	Parti Vert	Baribeau	Julie	C.	31/05/2004 18:40:00
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Liberal	Libéral	Tousignant	Nathalie		4/6/04 10:30
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Conservative	conservateur	Rémillard	Francis-Pierre		4/6/04 9:30
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Marijuana Party	Parti Marijuana	Drouin	Sébastien		7/6/04 11:45
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Bloc Québécois	Bloc Québécois	Bergeron	Stéphane		26/05/2004 23:40:23
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Green Party	Parti Vert	Morlighem	Philippe		5/6/04 12:00
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	N.D.P.	N.P.D.	Vallée	Simon		3/6/04 10:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Liberal	Libéral	Robillard	Lucienne		31/05/2004 10:00:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Green Party	Parti Vert	Sarwer-Foner	Brian		2/6/04 15:40
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	N.D.P.	N.P.D.	Steedman	Eric Wilson		31/05/2004 10:35:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Marijuana Party	Parti Marijuana	Proctor	David John		2/6/04 22:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Conservative	conservateur	Gervais	Robert		2/6/04 16:20
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Bloc Québécois	Bloc Québécois	La Rochelle	Louis		5/6/04 16:45
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Marxist-Leninist	Marxiste-Léniniste	Lachapelle	Serge		28/05/2004 22:00:00
35001	Ajax--Pickering	Ajax--Pickering	Liberal	Libéral	Holland	Mark		3/6/04 7:32
35001	Ajax--Pickering	Ajax--Pickering	Conservative	conservateur	Soetens	René		3/6/04 15:10
35001	Ajax--Pickering	Ajax--Pickering	N.D.P.	N.P.D.	Modeste	Kevin		4/6/04 8:35
35001	Ajax--Pickering	Ajax--Pickering	Green Party	Parti Vert	MacDonald	Karen		6/6/04 15:34
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Liberal	Libéral	St. Denis	Brent		31/05/2004 15:20:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	N.D.P.	N.P.D.	Hughes	Carol		30/05/2004 16:10:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Conservative	conservateur	Armstrong	Blaine		3/6/04 11:40
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Green Party	Parti Vert	Killen	Lindsay		5/6/04 16:10
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	Liberal	Libéral	Powers 	Russ		31/05/2004 15:30:00
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	N.D.P.	N.P.D.	Guyatt	Gordon		1/6/04 15:15
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	Green Party	Parti Vert	Januczkowski	David		30/05/2004 15:37:00
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	Conservative	conservateur	Sweet	David		30/05/2004 15:53:00
35004	Barrie	Barrie	Liberal	Libéral	Carroll	Aileen		6/6/04 13:00
35004	Barrie	Barrie	N.D.P.	N.P.D.	Bursztyn	Peter		29/05/2004 15:15:00
35004	Barrie	Barrie	Conservative	conservateur	Brown	Patrick		7/6/04 14:45
35004	Barrie	Barrie	Green Party	Parti Vert	Jacoby-Hawkins	Erich		1/6/04 17:20
35005	Beaches--East York	Beaches--East York	Liberal	Libéral	Minna	Maria		5/6/04 17:38
35005	Beaches--East York	Beaches--East York	Conservative	conservateur	Nikopoulos	Nick		7/6/04 12:24
35005	Beaches--East York	Beaches--East York	Marijuana Party	Parti Marijuana	Dufresne	Daniel		5/6/04 15:26
35005	Beaches--East York	Beaches--East York	Independent	Indépendant	Slota	Edward		5/6/04 17:09
35005	Beaches--East York	Beaches--East York	Communist	Communiste	Figueroa	Miguel		6/6/04 16:13
35005	Beaches--East York	Beaches--East York	Marxist-Leninist	Marxiste-Léniniste	Carter	Roger		2/6/04 7:20
35005	Beaches--East York	Beaches--East York	N.D.P.	N.P.D.	Tabuns	Peter		30/05/2004 15:18:00
35005	Beaches--East York	Beaches--East York	Green Party	Parti Vert	Davison	Peter		4/6/04 12:55
35006	Bramalea--Gore--Malton	Bramalea--Gore--Malton	Liberal	Libéral	Malhi	Gurbax	S.	2/6/04 16:40
35006	Bramalea--Gore--Malton	Bramalea--Gore--Malton	N.D.P.	N.P.D.	Miranda	Fernando		2/6/04 17:00
35006	Bramalea--Gore--Malton	Bramalea--Gore--Malton	Conservative	conservateur	Gill	Raminder		7/6/04 16:00
35006	Bramalea--Gore--Malton	Bramalea--Gore--Malton	Marxist-Leninist	Marxiste-Léniniste	Chilelli	Frank		1/6/04 11:40
35006	Bramalea--Gore--Malton	Bramalea--Gore--Malton	Green Party	Parti Vert	McDowall	Sharleen		7/6/04 9:40
35007	Brampton--Springdale	Brampton--Springdale	Liberal	Libéral	Dhalla	Ruby		3/6/04 11:11
35007	Brampton--Springdale	Brampton--Springdale	Conservative	conservateur	Hundal	Sam		2/6/04 15:42
35007	Brampton--Springdale	Brampton--Springdale	Communist	Communiste	Mattu	Gurdev Singh		6/6/04 12:41
35007	Brampton--Springdale	Brampton--Springdale	N.D.P.	N.P.D.	Pounder	Kathy		2/6/04 15:27
35007	Brampton--Springdale	Brampton--Springdale	Green Party	Parti Vert	Hudson	Nick		3/6/04 0:06
35008	Brampton West	Brampton-Ouest	Liberal	Libéral	Beaumier	Colleen		31/05/2004 16:09:00
35008	Brampton West	Brampton-Ouest	Conservative	conservateur	Clement	Tony		28/05/2004 20:10:00
35008	Brampton West	Brampton-Ouest	Independent	Indépendant	Bose	Tom		4/6/04 19:20
35008	Brampton West	Brampton-Ouest	Green Party	Parti Vert	Goel	Sanjeev		31/05/2004 16:02:00
35008	Brampton West	Brampton-Ouest	N.D.P.	N.P.D.	Moise	Chris		2/6/04 9:30
35009	Brant	Brant	Liberal	Libéral	St. Amand	Lloyd		2/6/04 12:50
35009	Brant	Brant	Independent	Indépendant	Turmel	John	C. 	7/6/04 11:45
35009	Brant	Brant	Conservative	conservateur	Martin	Greg		29/05/2004 11:30:00
35009	Brant	Brant	Christian Heritage Party	Parti de l'Héritage Chrétien	Gots	Barra	L.	31/05/2004 16:05:00
35009	Brant	Brant	Green Party	Parti Vert	Embry	Helen-Anne		4/6/04 20:15
35009	Brant	Brant	N.D.P.	N.P.D.	Bowering	Lynn		27/05/2004 17:40:00
35010	Burlington	Burlington	Liberal	Libéral	Torsney	Paddy		28/05/2004 16:00:00
35010	Burlington	Burlington	N.D.P.	N.P.D.	Laird	David	Carter	3/6/04 20:35
35010	Burlington	Burlington	Green Party	Parti Vert	Reid	Angela		5/6/04 13:00
35010	Burlington	Burlington	Conservative	conservateur	Wallace	Mike		29/05/2004 12:05:00
35010	Burlington	Burlington	Christian Heritage Party	Parti de l'Héritage Chrétien	Wubs	John Herman		28/05/2004 15:00:00
35011	Cambridge	Cambridge	Liberal	Libéral	Peric	Janko		4/6/04 15:45
35011	Cambridge	Cambridge	N.D.P.	N.P.D.	Price	Gary		31/05/2004 09:35:00
35011	Cambridge	Cambridge	Independent	Indépendant	Gryc	Alex	W.	7/6/04 14:30
35011	Cambridge	Cambridge	Green Party	Parti Vert	White	Gareth	M.	4/6/04 16:20
35011	Cambridge	Cambridge	Christian Heritage Party	Parti de l'Héritage Chrétien	Gots	John	G. 	2/6/04 13:00
35011	Cambridge	Cambridge	Conservative	conservateur	Goodyear	Gary		29/05/2004 12:14:00
35011	Cambridge	Cambridge	Independent	Indépendant	Oprea	John		7/6/04 15:05
35012	Carleton--Lanark	Carleton--Lanark	Liberal	Libéral	Wicklum	Dan		27/05/2004 16:00:00
35012	Carleton--Lanark	Carleton--Lanark	Green Party	Parti Vert	Langstaff	Stuart		31/05/2004 11:30:00
35012	Carleton--Lanark	Carleton--Lanark	Conservative	conservateur	O'Connor	Gordon		27/05/2004 16:00:00
35012	Carleton--Lanark	Carleton--Lanark	N.D.P.	N.P.D.	Prashaw	Rick		31/05/2004 15:35:00
35013	Chatham-Kent--Essex	Chatham-Kent--Essex	Liberal	Libéral	Pickard	Jerry		3/6/04 16:50
35013	Chatham-Kent--Essex	Chatham-Kent--Essex	N.D.P.	N.P.D.	Kevany	Kathleen		1/6/04 9:40
35013	Chatham-Kent--Essex	Chatham-Kent--Essex	Conservative	conservateur	Van Kesteren	Dave		1/6/04 14:05
35013	Chatham-Kent--Essex	Chatham-Kent--Essex	Marxist-Leninist	Marxiste-Léniniste	Mondaca	Margaret		4/6/04 10:10
35013	Chatham-Kent--Essex	Chatham-Kent--Essex	Green Party	Parti Vert	Hetherington	Rod		3/6/04 17:42
35014	Clarington--Scugog--Uxbridge	Clarington--Scugog--Uxbridge	Liberal	Libéral	Lang	Tim		31/05/2004 20:30:00
35014	Clarington--Scugog--Uxbridge	Clarington--Scugog--Uxbridge	Conservative	conservateur	Oda	Bev		1/6/04 16:55
35014	Clarington--Scugog--Uxbridge	Clarington--Scugog--Uxbridge	Christian Heritage Party	Parti de l'Héritage Chrétien	Bruinsma	Durk		1/6/04 19:05
35014	Clarington--Scugog--Uxbridge	Clarington--Scugog--Uxbridge	Green Party	Parti Vert	Ervin	Virginia		7/6/04 11:55
35014	Clarington--Scugog--Uxbridge	Clarington--Scugog--Uxbridge	N.D.P.	N.P.D.	Rogers	Bruce		2/6/04 18:55
35015	Davenport	Davenport	Liberal	Libéral	Silva	Mario		29/05/2004 14:00:00
35015	Davenport	Davenport	Conservative	conservateur	Rodrigues	Theresa		5/6/04 21:20
35015	Davenport	Davenport	Marijuana Party	Parti Marijuana	Gale	Elmer		5/6/04 18:55
35015	Davenport	Davenport	Canadian Action	Action canadienne	Riddell	John		6/6/04 23:40
35015	Davenport	Davenport	N.D.P.	N.P.D.	Pires	Rui		2/6/04 17:30
35015	Davenport	Davenport	Green Party	Parti Vert	O'Brien	Mark		4/6/04 14:15
35015	Davenport	Davenport	Communist	Communiste	Boyden	Johan		5/6/04 14:45
35015	Davenport	Davenport	Marxist-Leninist	Marxiste-Léniniste	Thompson	Sarah		3/6/04 19:00
35016	Don Valley East	Don Valley-Est	Liberal	Libéral	Ratansi	Yasmin		3/6/04 3:30
35016	Don Valley East	Don Valley-Est	Green Party	Parti Vert	King	Dan		5/6/04 14:00
35016	Don Valley East	Don Valley-Est	Conservative	conservateur	Johnson	David		1/6/04 15:05
35016	Don Valley East	Don Valley-Est	Christian Heritage Party	Parti de l'Héritage Chrétien	Kidd	Ryan		5/6/04 16:55
35016	Don Valley East	Don Valley-Est	Communist	Communiste	Black	Christopher		6/6/04 15:00
35016	Don Valley East	Don Valley-Est	N.D.P.	N.P.D.	Mah	Valerie		1/6/04 10:00
35017	Don Valley West	Don Valley-Ouest	Liberal	Libéral	Godfrey	John		31/05/2004 17:00:00
35017	Don Valley West	Don Valley-Ouest	N.D.P.	N.P.D.	Thomas	David		2/6/04 15:00
35017	Don Valley West	Don Valley-Ouest	Conservative	conservateur	Turnbull	David		27/05/2004 11:40:00
35017	Don Valley West	Don Valley-Ouest	Green Party	Parti Vert	Abbat	Serge		2/6/04 11:30
35018	Dufferin--Caledon	Dufferin--Caledon	Liberal	Libéral	Calder	Murray		31/05/2004 12:31:00
35018	Dufferin--Caledon	Dufferin--Caledon	N.D.P.	N.P.D.	Landry	Rita		1/6/04 19:35
35018	Dufferin--Caledon	Dufferin--Caledon	Conservative	conservateur	Tilson	David		2/6/04 13:20
35018	Dufferin--Caledon	Dufferin--Caledon	Christian Heritage Party	Parti de l'Héritage Chrétien	Ellis	Ursula		3/6/04 19:35
35018	Dufferin--Caledon	Dufferin--Caledon	Green Party	Parti Vert	Alexander	Ted		2/6/04 14:18
35019	Eglinton--Lawrence	Eglinton--Lawrence	Liberal	Libéral	Volpe	Joseph		30/05/2004 13:46:00
35019	Eglinton--Lawrence	Eglinton--Lawrence	Conservative	conservateur	Tanz	Bernie		29/05/2004 18:00:00
35019	Eglinton--Lawrence	Eglinton--Lawrence	Canadian Action	Action canadienne	Prévost	Corrinne		4/6/04 12:57
35019	Eglinton--Lawrence	Eglinton--Lawrence	Green Party	Parti Vert	Goldstein	Shel		1/6/04 11:38
35019	Eglinton--Lawrence	Eglinton--Lawrence	N.D.P.	N.P.D.	Silverman	Max		1/6/04 13:38
35020	Elgin--Middlesex--London	Elgin--Middlesex--London	Liberal	Libéral	Knutson	Gar		31/05/2004 18:55:00
35020	Elgin--Middlesex--London	Elgin--Middlesex--London	Conservative	conservateur	Preston	Joe		31/05/2004 18:55:00
35020	Elgin--Middlesex--London	Elgin--Middlesex--London	Christian Heritage Party	Parti de l'Héritage Chrétien	DeVries	Ken		2/6/04 19:15
35020	Elgin--Middlesex--London	Elgin--Middlesex--London	Canadian Action	Action canadienne	Arlow	Will		3/6/04 9:10
35020	Elgin--Middlesex--London	Elgin--Middlesex--London	N.D.P.	N.P.D.	McCallum	Tim		2/6/04 15:00
35020	Elgin--Middlesex--London	Elgin--Middlesex--London	Green Party	Parti Vert	Stodolny	Julie-Ann		1/6/04 15:15
35021	Essex	Essex	Liberal	Libéral	Whelan	Susan		1/6/04 16:30
35021	Essex	Essex	N.D.P.	N.P.D.	Tremblay	David		2/6/04 11:45
35021	Essex	Essex	Conservative	conservateur	Watson	Jeff		2/6/04 10:35
35021	Essex	Essex	Marxist-Leninist	Marxiste-Léniniste	Cruise	Robert	A.	3/6/04 16:00
35021	Essex	Essex	Green Party	Parti Vert	Forman	Paul		2/6/04 11:15
35022	Etobicoke Centre	Etobicoke-Centre	Liberal	Libéral	Wrzesnewskyj	Borys		2/6/04 15:55
35022	Etobicoke Centre	Etobicoke-Centre	Conservative	conservateur	Preyma	Lida		5/6/04 11:55
35022	Etobicoke Centre	Etobicoke-Centre	Green Party	Parti Vert	Pearson	Margo		5/6/04 15:30
35022	Etobicoke Centre	Etobicoke-Centre	Marxist-Leninist	Marxiste-Léniniste	Tremblay	France		5/1/04 9:00
35022	Etobicoke Centre	Etobicoke-Centre	N.D.P.	N.P.D.	Richmond	John		1/6/04 16:00
35023	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Liberal	Libéral	Augustine	Jean		1/6/04 17:00
35023	Etobicoke--Lakeshore	Etobicoke--Lakeshore	N.D.P.	N.P.D.	McHugh	Margaret Anne		1/6/04 16:55
35023	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Conservative	conservateur	Capobianco	John		27/05/2004 16:30:00
35023	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Marxist-Leninist	Marxiste-Léniniste	Murray	Janice		2/6/04 20:05
35023	Etobicoke--Lakeshore	Etobicoke--Lakeshore	Green Party	Parti Vert	Huculiak	John		4/6/04 15:10
35024	Etobicoke North	Etobicoke-Nord	Liberal	Libéral	Cullen	Roy		3/6/04 13:15
35024	Etobicoke North	Etobicoke-Nord	Marxist-Leninist	Marxiste-Léniniste	Di Carlo	Anna		1/6/04 12:00
35024	Etobicoke North	Etobicoke-Nord	N.D.P.	N.P.D.	Martello	Cesar		3/6/04 13:00
35024	Etobicoke North	Etobicoke-Nord	Green Party	Parti Vert	Kamal	Mir		5/6/04 13:00
35024	Etobicoke North	Etobicoke-Nord	Independent	Indépendant	Szebik	George		4/6/04 13:30
35024	Etobicoke North	Etobicoke-Nord	Christian Heritage Party	Parti de l'Héritage Chrétien	Ubbens	William		2/6/04 15:35
35024	Etobicoke North	Etobicoke-Nord	Conservative	conservateur	Nannar	Rupinder		1/6/04 16:50
35025	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Liberal	Libéral	Boudria	Don		29/05/2004 17:00:00
35025	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Green Party	Parti Vert	Fjarlie	Roy		31/05/2004 19:10:00
35025	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Christian Heritage Party	Parti de l'Héritage Chrétien	Bloedow	Tim		7/6/04 13:00
35025	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	N.D.P.	N.P.D.	Cauvier	Martin		3/6/04 14:00
35025	Glengarry--Prescott--Russell	Glengarry--Prescott--Russell	Conservative	conservateur	Lalonde	Alain		4/6/04 17:05
35026	Grey--Bruce--Owen Sound	Grey--Bruce--Owen Sound	Liberal	Libéral	Jackson	Ovid		29/05/2004 13:00:00
35026	Grey--Bruce--Owen Sound	Grey--Bruce--Owen Sound	Green Party	Parti Vert	Drossos	Alex		4/6/04 20:30
